frame,time_sec,in_flux,out_flux,net_flux,in_event_active,out_event_active
27,1.125,275.4962463378906,3654.95849609375,-3379.4622497558594,True,False
28,1.1666666666666667,1834.114501953125,556.4498291015625,1277.6646728515625,True,False
29,1.2083333333333333,2023.85791015625,399.38671875,1624.47119140625,True,False
30,1.25,3047.652587890625,456.379638671875,2591.27294921875,True,True
31,1.2916666666666667,117.89956665039062,2435.958984375,-2318.0594177246094,True,True
32,1.3333333333333333,117.39916229248047,941.3236083984375,-823.924446105957,True,True
33,1.375,18.447416305541992,5263.4814453125,-5245.034029006958,True,True
34,1.4166666666666667,777.259033203125,4108.90234375,-3331.643310546875,True,True
35,1.4583333333333333,8.005208969116211,3552.881103515625,-3544.875894546509,True,True
36,1.5,10.599839210510254,1961.2576904296875,-1950.6578512191772,True,True
37,1.5416666666666667,214.45468139648438,79.5895767211914,134.86510467529297,True,True
38,1.5833333333333333,8.306132316589355,156.43798828125,-148.13185596466064,True,True
39,1.625,1074.2442626953125,4.9293212890625,1069.31494140625,True,False
40,1.6666666666666667,93.28008270263672,549.7998046875,-456.5197219848633,True,False
41,1.7083333333333333,853.639892578125,0.0,853.639892578125,True,False
42,1.75,721.5328369140625,78.37205505371094,643.1607818603516,True,False
43,1.7916666666666667,854.5888671875,771.6142578125,82.974609375,True,False
44,1.8333333333333333,1370.000244140625,66.48336029052734,1303.5168838500977,True,False
45,1.875,2337.7431640625,240.58798217773438,2097.1551818847656,True,True
46,1.9166666666666667,5499.9912109375,88.9090576171875,5411.0821533203125,True,True
47,1.9583333333333333,4598.60546875,0.0,4598.60546875,True,False
48,2.0,1286.1077880859375,1323.1947021484375,-37.0869140625,True,False
49,2.0416666666666665,5123.2783203125,0.0,5123.2783203125,True,False
50,2.0833333333333335,2710.97021484375,347.0066223144531,2363.963592529297,False,False
51,2.125,2307.106201171875,256.25921630859375,2050.8469848632812,False,False
52,2.1666666666666665,4250.953125,107.13661193847656,4143.816513061523,False,False
53,2.2083333333333335,3719.844482421875,0.0,3719.844482421875,False,False
54,2.25,3030.0078125,112.84700775146484,2917.160804748535,False,True
55,2.2916666666666665,4144.68798828125,147.00367736816406,3997.684310913086,False,True
56,2.3333333333333335,2655.4873046875,0.0,2655.4873046875,True,False
57,2.375,5344.5849609375,33.7911491394043,5310.793811798096,True,False
58,2.4166666666666665,3438.53173828125,608.2174072265625,2830.3143310546875,True,False
59,2.4583333333333335,3388.77978515625,20.38254165649414,3368.397243499756,True,False
60,2.5,249.48306274414062,1255.098876953125,-1005.6158142089844,True,False
61,2.5416666666666665,2754.444580078125,202.09112548828125,2552.3534545898438,True,False
62,2.5833333333333335,1551.360595703125,22.876216888427734,1528.4843788146973,True,False
63,2.625,27.938671112060547,122.12852478027344,-94.18985366821289,True,True
64,2.6666666666666665,96.3977279663086,230.18157958984375,-133.78385162353516,True,True
65,2.7083333333333335,1045.557373046875,128.68582153320312,916.8715515136719,True,True
66,2.75,14.889927864074707,515.8338623046875,-500.9439344406128,True,True
67,2.7916666666666665,85.13475036621094,20.157434463500977,64.97731590270996,True,True
68,2.8333333333333335,658.3118896484375,0.0,658.3118896484375,True,False
69,2.875,829.425537109375,118.04803466796875,711.3775024414062,True,False
70,2.9166666666666665,922.99072265625,436.2571716308594,486.7335510253906,True,False
71,2.9583333333333335,1176.76171875,150.38104248046875,1026.3806762695312,True,False
72,3.0,1340.568115234375,226.45469665527344,1114.1134185791016,True,False
73,3.0416666666666665,3252.37841796875,182.16307067871094,3070.215347290039,True,False
74,3.0833333333333335,1630.345703125,54.37519454956055,1575.9705085754395,True,True
75,3.125,789.2131958007812,869.6546020507812,-80.44140625,True,True
76,3.1666666666666665,446.91009521484375,816.002197265625,-369.09210205078125,True,True
77,3.2083333333333335,1345.560302734375,533.0875244140625,812.4727783203125,True,True
78,3.25,124.5426254272461,758.7251586914062,-634.1825332641602,True,True
79,3.2916666666666665,0.0,2152.61328125,-2152.61328125,False,True
80,3.3333333333333335,16.380041122436523,2545.55029296875,-2529.1702518463135,False,True
81,3.375,273.5001525878906,1678.068115234375,-1404.5679626464844,False,True
82,3.4166666666666665,725.4952392578125,3144.044677734375,-2418.5494384765625,False,True
83,3.4583333333333335,52.64930725097656,4600.3974609375,-4547.748153686523,False,True
84,3.5,63.96333694458008,6468.3486328125,-6404.38529586792,False,True
85,3.5416666666666665,35.89044952392578,4666.904296875,-4631.013847351074,True,True
