frame,time_sec,in_flux,out_flux,net_flux,in_event_active,out_event_active
61,2.5416666666666665,1457.944580078125,1596.3974609375,-138.452880859375,True,True
62,2.5833333333333335,220.8662567138672,11304.267578125,-11083.401321411133,True,True
63,2.625,10452.44921875,313.9730529785156,10138.476165771484,True,True
64,2.6666666666666665,1063.3216552734375,198.3932342529297,864.9284210205078,True,True
65,2.7083333333333335,3123.51513671875,132.79440307617188,2990.720733642578,True,True
66,2.75,816.9251708984375,85.37249755859375,731.5526733398438,True,True
67,2.7916666666666665,194.2550048828125,124.49427032470703,69.76073455810547,True,True
68,2.8333333333333335,260.96929931640625,78.7264404296875,182.24285888671875,True,True
69,2.875,356.506591796875,27.462108612060547,329.04448318481445,True,True
70,2.9166666666666665,16.358488082885742,219.9091033935547,-203.55061531066895,True,True
71,2.9583333333333335,192.1149139404297,492.05767822265625,-299.94276428222656,True,True
72,3.0,75.6802749633789,566.6857299804688,-491.00545501708984,True,True
73,3.0416666666666665,125.84541320800781,293.040771484375,-167.1953582763672,True,True
74,3.0833333333333335,168.2665557861328,570.127685546875,-401.8611297607422,True,True
75,3.125,53.69993209838867,359.346435546875,-305.6465034484863,True,True
76,3.1666666666666665,1030.20458984375,60.409278869628906,969.7953109741211,True,True
77,3.2083333333333335,708.1832275390625,5.7360053062438965,702.4472222328186,True,False
78,3.25,661.1207885742188,31.70165252685547,629.4191360473633,True,False
79,3.2916666666666665,0.0,266.6400451660156,-266.6400451660156,False,False
80,3.3333333333333335,336.08367919921875,100.99799346923828,235.08568572998047,False,False
81,3.375,378.4246826171875,93.24360656738281,285.1810760498047,False,False
82,3.4166666666666665,12.742712020874023,115.70503234863281,-102.96232032775879,False,False
83,3.4583333333333335,183.7247772216797,846.216552734375,-662.4917755126953,False,True
