target,feature,n,covariance,abs_covariance,feature_mean,target_mean,feature_std,target_std
in_signed_error,background_dark_ratio_p90,3822,0.39581649071566144,0.39581649071566144,0.1771408107033988,1.1570952347909114e-13,0.35230764819512106,22.135035602693243
in_signed_error,band_normal_abs_mean_p90,3822,-0.3945101234006585,0.3945101234006585,0.5407836296669406,1.1570952347909114e-13,0.6915710336783403,22.135035602693243
in_signed_error,band_flow_mag_mean_p90,3822,-0.3864510896603913,0.3864510896603913,0.777475821257507,1.1570952347909114e-13,0.9909616375812957,22.135035602693243
in_signed_error,roi_flow_mag_p90_mean,3822,-0.38139644076617424,0.38139644076617424,1.1161141244837418,1.1570952347909114e-13,1.5551184406247895,22.135035602693243
in_signed_error,entrance_dark_ratio_p10,3822,0.34978007503302294,0.34978007503302294,0.1718163191616973,1.1570952347909114e-13,0.35024870986248846,22.135035602693243
in_signed_error,filtered_to_raw_traffic_ratio_p90,3222,-0.34479077928369245,0.34479077928369245,0.630454572000971,-1.0965772065488468,0.4371309205155248,23.645095161814144
in_signed_error,right_filtered_out_flux_p10,3822,-0.33378929415764264,0.33378929415764264,0.003216550014581693,1.1570952347909114e-13,0.12261914093439029,22.135035602693243
in_signed_error,roi_saturation_mean_std,3822,-0.3141188000704503,0.3141188000704503,3.697244745922692,1.1570952347909114e-13,4.9284599862978355,22.135035602693243
in_signed_error,roi_dark_ratio_p90,3822,0.3121262350510043,0.3121262350510043,0.1834201452766008,1.1570952347909114e-13,0.352517363920943,22.135035602693243
in_signed_error,in_flux_share_std,2515,-0.3119405573733439,0.3119405573733439,0.38486363143967706,-2.4789391898189286,0.11822417418981235,25.565232364216516
in_signed_error,out_flux_share_std,2515,-0.3119405573733439,0.3119405573733439,0.38486363143967706,-2.4789391898189286,0.11822417418981235,25.565232364216516
in_signed_error,out_flux_share_p10,2515,0.31006911169043533,0.31006911169043533,0.0450162628349085,-2.4789391898189286,0.16656866794121905,25.565232364216516
in_signed_error,in_flux_share_p90,2515,-0.31006911169043505,0.31006911169043505,0.9549837371650916,-2.4789391898189286,0.16656866794121905,25.565232364216516
in_signed_error,band_normal_abs_p90_min,3822,0.30716769950757755,0.30716769950757755,0.10003050011038758,1.1570952347909114e-13,0.15652062159614813,22.135035602693243
in_signed_error,band_flow_mag_mean_std,3822,-0.3022347508244443,0.3022347508244443,0.2711850935925833,1.1570952347909114e-13,0.3218145860293761,22.135035602693243
in_signed_error,band_flow_mag_mean_p10,3822,0.30184963323515945,0.30184963323515945,0.17892363907742717,1.1570952347909114e-13,0.2821542184233482,22.135035602693243
in_signed_error,candidate_direction_entropy_p90,3222,-0.3018164351553123,0.3018164351553123,0.5054912695141663,-1.0965772065488468,0.243462214579469,23.645095161814144
in_signed_error,in_flux_share_mean,2515,-0.2897734812051668,0.2897734812051668,0.5185057541846871,-2.4789391898189286,0.1472995749260736,25.565232364216516
in_signed_error,out_flux_share_mean,2515,0.2897734812051668,0.2897734812051668,0.48149424581531275,-2.4789391898189286,0.1472995749260736,25.565232364216516
in_signed_error,frame_diff_p90_min,3822,0.2855989969763808,0.2855989969763808,1.434065934065934,1.1570952347909114e-13,1.7349106152980047,22.135035602693243
in_signed_error,band_direction_entropy_mean,3822,0.27259025049176905,0.27259025049176905,0.7993374414686116,1.1570952347909114e-13,0.09042429715187277,22.135035602693243
in_signed_error,raw_candidate_ratio_band_max,3822,-0.2711723517373008,0.2711723517373008,0.2866967243724619,1.1570952347909114e-13,0.28559727128313434,22.135035602693243
in_signed_error,roi_flow_mag_mean_p90,3822,-0.2679043145262763,0.2679043145262763,0.6139779879224777,1.1570952347909114e-13,0.7907125905963399,22.135035602693243
in_signed_error,band_normal_abs_mean_std,3822,-0.2610416493654345,0.2610416493654345,0.19504483011841048,1.1570952347909114e-13,0.22932561242883345,22.135035602693243
in_signed_error,frame_diff_p90_mean,3822,0.2591232957152635,0.2591232957152635,4.7191435402186634,1.1570952347909114e-13,5.747868309497094,22.135035602693243
in_signed_error,band_direction_entropy_p50,3822,0.2565571432770656,0.2565571432770656,0.8201104377047399,1.1570952347909114e-13,0.08973090958486606,22.135035602693243
in_signed_error,filtered_candidate_component_count_p90,3822,-0.2522253725451761,0.2522253725451761,1.4906855049712193,1.1570952347909114e-13,2.069311185897836,22.135035602693243
in_signed_error,valid_component_count_p90,3822,-0.2522253725451761,0.2522253725451761,1.4906855049712193,1.1570952347909114e-13,2.069311185897836,22.135035602693243
in_signed_error,band_flow_mag_p90_p50,3822,-0.25203104842504,0.25203104842504,1.0806957061327338,1.1570952347909114e-13,1.558176528700964,22.135035602693243
in_signed_error,left_filtered_in_flux_p10,3822,0.2497779978918219,0.2497779978918219,0.003575444483495022,1.1570952347909114e-13,0.16752084925542446,22.135035602693243
in_signed_error,background_dark_ratio_max,3822,0.23458836300726185,0.23458836300726185,0.190341652491071,1.1570952347909114e-13,0.35425675401956674,22.135035602693243
in_signed_error,band_flow_mag_mean_min,3822,0.2241712134826396,0.2241712134826396,0.06454563197184518,1.1570952347909114e-13,0.10192222536572292,22.135035602693243
in_signed_error,candidate_direction_entropy_p10,3222,0.22109494115466197,0.22109494115466197,0.12399597872186172,-1.0965772065488468,0.17599675356934502,23.645095161814144
in_signed_error,background_gray_entropy_std,3822,-0.22101334232401498,0.22101334232401498,0.10497920787181397,1.1570952347909114e-13,0.10411661721008139,22.135035602693243
in_signed_error,roi_flow_mag_mean_min,3822,0.2163083690683534,0.2163083690683534,0.09869498867493386,1.1570952347909114e-13,0.1480758903961268,22.135035602693243
in_signed_error,left_filtered_out_flux_p10,3822,0.21136850925475575,0.21136850925475575,0.0019634638825740468,1.1570952347909114e-13,0.09597528988576573,22.135035602693243
in_signed_error,band_normal_abs_mean_p10,3822,0.19831175491589043,0.19831175491589043,0.11375432694564601,1.1570952347909114e-13,0.18297651685886163,22.135035602693243
in_signed_error,filtered_to_raw_traffic_ratio_p50,3222,0.19519254546615059,0.19519254546615059,0.3380631766743058,-1.0965772065488468,0.3805600327086711,23.645095161814144
in_signed_error,roi_gray_entropy_std,3822,-0.19005685540242614,0.19005685540242614,0.10302471953902381,1.1570952347909114e-13,0.10135772009896402,22.135035602693243
in_signed_error,entrance_dark_ratio_std,3822,-0.1876641099769308,0.1876641099769308,0.018062795044362364,1.1570952347909114e-13,0.03748125193614155,22.135035602693243
