case,feature,n,pearson_r,pearson_abs_r,spearman_r,spearman_abs_r
total_low_flow_under,entrance_gray_dynamic_range_max,259,0.050316980036657646,0.050316980036657646,0.07935201098497902,0.07935201098497902
total_low_flow_under,roi_dark_ratio_std,259,-0.04938491761718963,0.04938491761718963,-0.021838934145414695,0.021838934145414695
total_low_flow_under,top_raw_out_flux_max,259,0.04895821852626327,0.04895821852626327,-0.017475763243494626,0.017475763243494626
total_low_flow_under,raw_in_flux_std,259,0.04852724710928066,0.04852724710928066,0.013584871121135678,0.013584871121135678
total_low_flow_under,entrance_gray_mean_p90,259,0.04851725444870016,0.04851725444870016,0.12831130116127273,0.12831130116127273
total_low_flow_under,roi_gray_p50_mean,259,0.0484700656706943,0.0484700656706943,0.16862298784035948,0.16862298784035948
total_low_flow_under,entrance_gray_p95_p90,259,0.047986528879949336,0.047986528879949336,0.10243676506338341,0.10243676506338341
total_low_flow_under,persistent_candidate_pixels_mean,259,0.04739828135021373,0.04739828135021373,-0.006573227506218277,0.006573227506218277
total_low_flow_under,candidate_direction_entropy_std,245,-0.047290210470685316,0.047290210470685316,-0.0846700884567216,0.0846700884567216
total_low_flow_under,top_filtered_candidate_pixels_mean,259,0.046235726672755446,0.046235726672755446,-0.039759499976535606,0.039759499976535606
total_low_flow_under,bottom_raw_candidate_pixels_p90,259,-0.04613005444909983,0.04613005444909983,0.0022121331083452714,0.0022121331083452714
total_low_flow_under,background_dark_ratio_std,259,-0.04602096590681937,0.04602096590681937,-0.03148253392159337,0.03148253392159337
total_low_flow_under,top_filtered_candidate_pixels_std,259,-0.0454166820257812,0.0454166820257812,-0.06784721181744227,0.06784721181744227
total_low_flow_under,entrance_value_std_mean,259,-0.04479068273870725,0.04479068273870725,0.019278812714719516,0.019278812714719516
total_low_flow_under,left_filtered_in_flux_std,259,0.04470791213473992,0.04470791213473992,-0.030054566729235888,0.030054566729235888
total_low_flow_under,total_in_flux_share,191,0.04300486310849546,0.04300486310849546,0.008800149937138436,0.008800149937138436
total_low_flow_under,total_out_flux_share,191,-0.04300486310849523,0.04300486310849523,-0.008800149937138436,0.008800149937138436
total_low_flow_under,band_flow_mag_mean_max,259,0.04285654559901347,0.04285654559901347,-0.028797691957622464,0.028797691957622464
total_low_flow_under,total_filtered_in_flux,259,0.04275066176960964,0.04275066176960964,-0.057926949705280714,0.057926949705280714
total_low_flow_under,filtered_in_flux_mean,259,0.0427036719885444,0.0427036719885444,-0.057807257247758745,0.057807257247758745
total_low_flow_under,roi_gray_p50_p50,259,0.042566303400669844,0.042566303400669844,0.1675270501384202,0.1675270501384202
total_low_flow_under,background_saturated_ratio_p50,259,-0.0420392318617532,0.0420392318617532,-0.14304550774807928,0.14304550774807928
total_low_flow_under,total_direction_balance_abs,191,-0.04202665441254218,0.04202665441254218,-0.038133914124859,0.038133914124859
total_low_flow_under,entrance_value_mean_p50,259,0.040755438552592775,0.040755438552592775,0.06720957973003922,0.06720957973003922
total_low_flow_under,roi_edge_density_p50,259,0.04030761072246221,0.04030761072246221,0.0959853474715353,0.0959853474715353
total_low_flow_under,top_filtered_in_flux_std,259,0.03966322544614489,0.03966322544614489,-0.03399105896566833,0.03399105896566833
total_low_flow_under,entrance_value_std_p90,259,0.03954602017645297,0.03954602017645297,0.11376999834947173,0.11376999834947173
total_low_flow_under,entrance_gray_std_p90,259,-0.03888351966920814,0.03888351966920814,0.04302956126067476,0.04302956126067476
total_low_flow_under,background_gray_p50_p10,259,0.03859408973466719,0.03859408973466719,0.16302051225309247,0.16302051225309247
total_low_flow_under,candidate_direction_entropy_p10,245,0.03836245636170323,0.03836245636170323,0.08133805508773377,0.08133805508773377
total_low_flow_under,left_raw_candidate_pixels_std,259,-0.03705394904603,0.03705394904603,-0.013424850137757436,0.013424850137757436
