target,feature,n,pearson_r,pearson_abs_r,spearman_r,spearman_abs_r
sum_abs_error,right_raw_in_flux_p90,3822,0.3885614700004458,0.3885614700004458,0.4803094182198362,0.4803094182198362
sum_abs_error,rejected_component_count_p10,3822,0.38832128313525643,0.38832128313525643,0.4109801919518236,0.4109801919518236
sum_abs_error,roi_flow_mag_mean_p90,3822,0.3876299553878545,0.3876299553878545,0.3927733680296339,0.3927733680296339
sum_abs_error,frame_diff_changed_ratio_25_mean,3822,0.38748530215797206,0.38748530215797206,0.3982138218844192,0.3982138218844192
sum_abs_error,roi_flow_mag_p99_mean,3822,0.387034978840148,0.387034978840148,0.39974817769499904,0.39974817769499904
sum_abs_error,raw_in_flux_p90,3822,0.3867564250059707,0.3867564250059707,0.4525644355707942,0.4525644355707942
sum_abs_error,left_raw_in_flux_p50,3822,0.38655170640113473,0.38655170640113473,0.3953249805928918,0.3953249805928918
sum_abs_error,top_filtered_in_flux_p50,3822,0.3864667384047024,0.3864667384047024,0.4362682459024553,0.4362682459024553
sum_abs_error,right_filtered_in_flux_p90,3822,0.3849132714911651,0.3849132714911651,0.4905031989647245,0.4905031989647245
sum_abs_error,frame_diff_changed_ratio_25_p10,3822,0.3848954556035001,0.3848954556035001,0.47925449255322233,0.47925449255322233
sum_abs_error,bottom_filtered_candidate_pixels_p90,3822,0.384747072106722,0.384747072106722,0.4763748293666513,0.4763748293666513
sum_abs_error,filtered_candidate_component_count_max,3822,0.38450992285484015,0.38450992285484015,0.3827989169997113,0.3827989169997113
sum_abs_error,valid_component_count_max,3822,0.38450992285484015,0.38450992285484015,0.3827989169997113,0.3827989169997113
sum_abs_error,candidate_direction_entropy_mean,3222,0.3834392863582712,0.3834392863582712,0.4329011931219289,0.4329011931219289
sum_abs_error,left_filtered_candidate_pixels_p50,3822,0.38289397107881057,0.38289397107881057,0.3834789773766137,0.3834789773766137
sum_abs_error,roi_value_mean_std,3822,0.3826968703224747,0.3826968703224747,0.43185632909025745,0.43185632909025745
sum_abs_error,filtered_to_raw_traffic_ratio_p10,3222,0.3824094599808434,0.3824094599808434,0.43909942532576013,0.43909942532576013
sum_abs_error,right_filtered_candidate_pixels_p90,3822,0.3817296876524121,0.3817296876524121,0.48655130105936745,0.48655130105936745
sum_abs_error,raw_traffic_flux_p90,3822,0.38121311124409957,0.38121311124409957,0.43255501899115495,0.43255501899115495
sum_abs_error,right_raw_candidate_pixels_p90,3822,0.38026134375000065,0.38026134375000065,0.4594860260506672,0.4594860260506672
sum_abs_error,left_filtered_out_flux_std,3822,0.3799537527483614,0.3799537527483614,0.4266719172597807,0.4266719172597807
sum_abs_error,top_filtered_in_flux_p90,3822,0.3798922934342181,0.3798922934342181,0.483510467339585,0.483510467339585
sum_abs_error,raw_component_count_max,3822,0.3790306394877136,0.3790306394877136,0.3837518749498188,0.3837518749498188
sum_abs_error,frame_diff_changed_ratio_25_p90,3822,0.378201800493604,0.378201800493604,0.43704088617433995,0.43704088617433995
sum_abs_error,bottom_filtered_in_flux_std,3822,0.3774658330784012,0.3774658330784012,0.38394740053081794,0.38394740053081794
sum_abs_error,raw_component_count_std,3822,0.37738924874944446,0.37738924874944446,0.39518455247652773,0.39518455247652773
sum_abs_error,frame_diff_changed_ratio_25_p50,3822,0.37719037242127096,0.37719037242127096,0.47973095336659916,0.47973095336659916
sum_abs_error,persistence_mean_max,3822,0.3770404322705756,0.3770404322705756,0.37092069263526056,0.37092069263526056
sum_abs_error,right_filtered_candidate_pixels_p50,3822,0.37668426291120005,0.37668426291120005,0.43449331781507305,0.43449331781507305
sum_abs_error,direction_balance_abs_mean,2515,-0.37663663971209743,0.37663663971209743,-0.4661698799401949,0.4661698799401949
sum_abs_error,candidate_direction_entropy_p50,3222,0.375575538235347,0.375575538235347,0.44054827659398427,0.44054827659398427
sum_abs_error,band_flow_mag_p90_min,3822,0.3753991434569957,0.3753991434569957,0.26578295571305416,0.26578295571305416
sum_abs_error,band_normal_abs_p90_min,3822,0.3753668106039345,0.3753668106039345,0.268009788581854,0.268009788581854
sum_abs_error,rejected_component_count_max,3822,0.37503642041159213,0.37503642041159213,0.3861581906448165,0.3861581906448165
sum_abs_error,frame_diff_p90_max,3822,0.3739739542465163,0.3739739542465163,0.4054506460436331,0.4054506460436331
sum_abs_error,filtered_in_flux_p10,3822,0.3737437839439982,0.3737437839439982,0.3341343334592661,0.3341343334592661
sum_abs_error,filtered_candidate_component_count_std,3822,0.3729444001405731,0.3729444001405731,0.38806038356519396,0.38806038356519396
sum_abs_error,valid_component_count_std,3822,0.3729444001405731,0.3729444001405731,0.38806038356519396,0.38806038356519396
sum_abs_error,top_raw_in_flux_p90,3822,0.37251500273639715,0.37251500273639715,0.48592276005682145,0.48592276005682145
sum_abs_error,bottom_filtered_candidate_pixels_p50,3822,0.3723229783679155,0.3723229783679155,0.38552148392866376,0.38552148392866376
sum_abs_error,left_filtered_candidate_pixels_std,3822,0.37122843331353084,0.37122843331353084,0.41711206110784393,0.41711206110784393
sum_abs_error,right_filtered_in_flux_p50,3822,0.3710896699695364,0.3710896699695364,0.3711620975105925,0.3711620975105925
sum_abs_error,filtered_out_flux_p10,3822,0.3708346694443542,0.3708346694443542,0.3229263567987155,0.3229263567987155
sum_abs_error,bottom_raw_in_flux_std,3822,0.37026404196097046,0.37026404196097046,0.37110695825088047,0.37110695825088047
sum_abs_error,filtered_candidate_ratio_band_max,3822,0.36977623217548744,0.36977623217548744,0.3681170277082701,0.3681170277082701
sum_abs_error,roi_gray_p95_std,3822,0.3697200690652429,0.3697200690652429,0.35559152775286273,0.35559152775286273
sum_abs_error,filtered_candidate_component_area_ratio_max,3822,0.36853591038887273,0.36853591038887273,0.36560134505334047,0.36560134505334047
sum_abs_error,top_filtered_candidate_pixels_p10,3822,0.3685203521106528,0.3685203521106528,0.29967699892170113,0.29967699892170113
sum_abs_error,raw_candidate_component_count_max,3822,0.3682202758329626,0.3682202758329626,0.3823699006233081,0.3823699006233081
sum_abs_error,band_normal_abs_mean_min,3822,0.3681725938924786,0.3681725938924786,0.25862686891954634,0.25862686891954634
sum_abs_error,frame_diff_changed_ratio_25_std,3822,0.36756618308970007,0.36756618308970007,0.38346182572018017,0.38346182572018017
sum_abs_error,bottom_raw_out_flux_mean,3822,0.36753770451426854,0.36753770451426854,0.3908183722770428,0.3908183722770428
sum_abs_error,right_filtered_out_flux_mean,3822,0.36752942467626365,0.36752942467626365,0.3998935189513873,0.3998935189513873
sum_abs_error,left_raw_candidate_pixels_std,3822,0.3674907811648415,0.3674907811648415,0.40814558806595563,0.40814558806595563
sum_abs_error,background_gray_mean_std,3822,0.36644532178267714,0.36644532178267714,0.43123173587275604,0.43123173587275604
sum_abs_error,raw_candidate_component_count_std,3822,0.3663074957831047,0.3663074957831047,0.40049668385088527,0.40049668385088527
sum_abs_error,bottom_filtered_out_flux_mean,3822,0.3662789181445416,0.3662789181445416,0.387271673178082,0.387271673178082
sum_abs_error,band_flow_mag_mean_min,3822,0.36615510647767724,0.36615510647767724,0.24848129617933853,0.24848129617933853
sum_abs_error,direction_balance_abs_p50,2515,-0.366024215222639,0.366024215222639,-0.46100714082824457,0.46100714082824457
sum_abs_error,right_raw_out_flux_mean,3822,0.36554468387921146,0.36554468387921146,0.4043550373735139,0.4043550373735139
sum_abs_error,right_raw_candidate_pixels_p10,3822,0.36433014260305807,0.36433014260305807,0.37692526952239164,0.37692526952239164
sum_abs_error,persistent_candidate_pixels_max,3822,0.3635029571712742,0.3635029571712742,0.3615871670575911,0.3615871670575911
sum_abs_error,top_filtered_out_flux_std,3822,0.3633429096157116,0.3633429096157116,0.36550538714059366,0.36550538714059366
sum_abs_error,filtered_candidate_component_area_max_max,3822,0.3633385956967212,0.3633385956967212,0.35411764153783326,0.35411764153783326
sum_abs_error,filtered_candidate_pixels_max,3822,0.3632673267449023,0.3632673267449023,0.3622575876016742,0.3622575876016742
sum_abs_error,filtered_candidate_component_area_sum_max,3822,0.3632673267449023,0.3632673267449023,0.3622575876016742,0.3622575876016742
sum_abs_error,background_gray_p95_std,3822,0.36277006835780906,0.36277006835780906,0.3451552647658137,0.3451552647658137
sum_abs_error,right_raw_out_flux_p50,3822,0.36271913100066216,0.36271913100066216,0.4518982503961208,0.4518982503961208
sum_abs_error,raw_candidate_ratio_band_max,3822,0.3623298811511552,0.3623298811511552,0.370108490241601,0.370108490241601
sum_abs_error,background_gray_std_std,3822,0.3622642591966117,0.3622642591966117,0.37135439664121983,0.37135439664121983
sum_abs_error,bottom_raw_out_flux_p50,3822,0.3619390099376118,0.3619390099376118,0.4311987448891564,0.4311987448891564
sum_abs_error,raw_candidate_component_area_ratio_max,3822,0.36123686112204945,0.36123686112204945,0.3673824570711921,0.3673824570711921
sum_abs_error,band_normal_abs_p90_p90,3822,0.3611000783025915,0.3611000783025915,0.40215931820120626,0.40215931820120626
sum_abs_error,right_raw_out_flux_p90,3822,0.36087143963940593,0.36087143963940593,0.47352515589496547,0.47352515589496547
sum_abs_error,left_raw_out_flux_std,3822,0.360738380893358,0.360738380893358,0.40041243822162764,0.40041243822162764
sum_abs_error,bottom_filtered_candidate_pixels_std,3822,0.3598232830190836,0.3598232830190836,0.3838624289531514,0.3838624289531514
sum_abs_error,right_filtered_out_flux_p90,3822,0.3594471940736483,0.3594471940736483,0.4884901048857248,0.4884901048857248
sum_abs_error,frame_diff_changed_ratio_25_min,3822,0.359426740058684,0.359426740058684,0.4046330678928939,0.4046330678928939
sum_abs_error,left_filtered_out_flux_p50,3822,0.358679114599101,0.358679114599101,0.2670190291055511,0.2670190291055511
sum_abs_error,left_filtered_in_flux_p50,3822,0.3583589039199808,0.3583589039199808,0.29369439975076933,0.29369439975076933
sum_abs_error,frame_diff_mean_std,3822,0.3575826218955426,0.3575826218955426,0.4249150824985954,0.4249150824985954
sum_abs_error,left_filtered_in_flux_std,3822,0.35709490491307605,0.35709490491307605,0.4098696067878321,0.4098696067878321
sum_abs_error,top_raw_out_flux_p10,3822,0.35689234008052734,0.35689234008052734,0.2599106251873732,0.2599106251873732
sum_abs_error,bottom_raw_candidate_pixels_p10,3822,0.3563985201355002,0.3563985201355002,0.3477280913357079,0.3477280913357079
sum_abs_error,background_value_std_std,3822,0.3561847722797104,0.3561847722797104,0.38948389644932097,0.38948389644932097
sum_abs_error,left_raw_candidate_pixels_p10,3822,0.3560539796507696,0.3560539796507696,0.27681016451139534,0.27681016451139534
sum_abs_error,filtered_out_flux_std,3822,0.3556666691174657,0.3556666691174657,0.3630255942727492,0.3630255942727492
sum_abs_error,bottom_raw_candidate_pixels_std,3822,0.3553811742089877,0.3553811742089877,0.38095694992492724,0.38095694992492724
sum_abs_error,filtered_candidate_ratio_band_std,3822,0.354822626265148,0.354822626265148,0.37699823801276916,0.37699823801276916
sum_abs_error,raw_candidate_pixels_max,3822,0.3538762265252463,0.3538762265252463,0.36145555684840464,0.36145555684840464
sum_abs_error,raw_candidate_component_area_sum_max,3822,0.3538762265252463,0.3538762265252463,0.36145555684840464,0.36145555684840464
sum_abs_error,filtered_candidate_component_area_ratio_std,3822,0.3537732221492005,0.3537732221492005,0.37515275650971436,0.37515275650971436
sum_abs_error,background_value_std_max,3822,0.35265019225337285,0.35265019225337285,0.3468978111762145,0.3468978111762145
sum_abs_error,top_raw_in_flux_p10,3822,0.3524068945096037,0.3524068945096037,0.2785815039483587,0.2785815039483587
sum_abs_error,roi_flow_mag_p90_p90,3822,0.35178521759344766,0.35178521759344766,0.4097533060162869,0.4097533060162869
sum_abs_error,raw_candidate_component_count_min,3822,0.3517718827697933,0.3517718827697933,0.3328928972045872,0.3328928972045872
sum_abs_error,bottom_filtered_in_flux_p50,3822,0.35164374272214466,0.35164374272214466,0.30291362860524024,0.30291362860524024
sum_abs_error,raw_candidate_component_area_p90_p50,3222,0.3498746149594926,0.3498746149594926,0.4091752734654133,0.4091752734654133
sum_abs_error,filtered_candidate_component_area_max_std,3822,0.3495788746391395,0.3495788746391395,0.36345503143589014,0.36345503143589014
sum_abs_error,filtered_candidate_pixels_std,3822,0.34942844608320295,0.34942844608320295,0.3712550880315791,0.3712550880315791
sum_abs_error,filtered_candidate_component_area_sum_std,3822,0.34942844608320295,0.34942844608320295,0.3712550880315791,0.3712550880315791
sum_abs_error,right_filtered_out_flux_p50,3822,0.3494178403448201,0.3494178403448201,0.3771522956047645,0.3771522956047645
sum_abs_error,band_flow_mag_p90_p90,3822,0.3493468622252956,0.3493468622252956,0.40036653116866316,0.40036653116866316
