target,feature,n,n_raw,outlier_filter,pearson_r,pearson_abs_r,spearman_r,spearman_abs_r
out_signed_error,entrance_gray_p05_min,2935,3822,iqr,-0.04004418627893603,0.04004418627893603,-0.04743881488366562,0.04743881488366562
out_signed_error,entrance_value_mean_min,3104,3822,iqr,0.03999485220261192,0.03999485220261192,0.01936833376383545,0.01936833376383545
out_signed_error,entrance_saturation_mean_p90,2639,3822,iqr,0.039349235468552686,0.039349235468552686,0.007092399728928974,0.007092399728928974
out_signed_error,filtered_out_flux_p10,3104,3822,iqr,0.03931132478956441,0.03931132478956441,0.030118728468801263,0.030118728468801263
out_signed_error,background_saturation_mean_min,3104,3822,iqr,-0.039277765291472554,0.039277765291472554,-0.07290263767007255,0.07290263767007255
out_signed_error,out_flux_share_min,2209,2515,iqr,0.039017994707198356,0.039017994707198356,0.05964354185560759,0.05964354185560759
out_signed_error,in_flux_share_max,2209,2515,iqr,-0.03901799470719773,0.03901799470719773,-0.05964354185560759,0.05964354185560759
out_signed_error,bottom_raw_candidate_pixels_p10,3104,3822,iqr,0.03895213297508789,0.03895213297508789,0.04519803175740243,0.04519803175740243
out_signed_error,entrance_gray_dynamic_range_p10,3103,3822,iqr,-0.038887072407527416,0.038887072407527416,-0.03730781274040641,0.03730781274040641
out_signed_error,roi_gray_p05_p50,2768,3822,iqr,-0.03884498461219763,0.03884498461219763,-0.06410995668917463,0.06410995668917463
out_signed_error,background_value_mean_min,3104,3822,iqr,-0.03860749603728681,0.03860749603728681,-0.03905686828361691,0.03905686828361691
out_signed_error,entrance_gray_p05_p10,2842,3822,iqr,-0.03848191482144386,0.03848191482144386,-0.03984713807802747,0.03984713807802747
out_signed_error,entrance_gray_p05_max,2744,3822,iqr,-0.038394107613480076,0.038394107613480076,-0.04707694628153425,0.04707694628153425
out_signed_error,entrance_gray_std_mean,3103,3822,iqr,-0.03838812768376924,0.03838812768376924,-0.04365500039525038,0.04365500039525038
